data_rate_Sa,f_avg,delta1,log10_nmse
1000,47.9167,-1.3333,-3.349649
1000,50.0000,-7.3333,-3.361391
1000,12.5000,-7.3333,-1.747278
1000,15.6250,0.3333,-0.647830
1000,48.9583,-3.3333,-3.368543
1000,8.3333,-5.6667,-1.747431
1000,4.1667,2.3333,-1.747275
1000,20.8333,6.0000,-1.275891
1000,7.2917,-4.0000,-1.747176
1000,7.2917,3.0000,-1.747237
1000,39.5833,-5.6667,-3.362708
1000,22.9167,8.0000,-1.677858
1000,14.5833,3.3333,-0.465664
1000,47.9167,-6.0000,-3.352718
1000,21.8750,0.0000,-2.346582
1000,45.8333,-5.6667,-3.354792
1000,12.5000,-5.0000,-1.747223
1000,13.5417,0.6667,-0.619136
1000,9.3750,0.0000,-3.153452
1000,27.0833,7.0000,-1.482651
1000,20.8333,4.6667,-1.619943
1000,1.0417,3.0000,-1.747251
1000,3.1250,3.0000,-1.747271
1000,27.0833,-1.6667,-3.352072
1000,15.6250,1.0000,-0.286884
1000,29.1667,7.3333,-1.572616
1000,12.5000,-4.3333,-1.747315
1000,15.6250,1.3333,-0.126067
1000,27.0833,-1.0000,-3.347477
1000,30.2083,-6.0000,-3.357052
1000,21.8750,6.0000,-1.460236
1000,37.5000,-3.3333,-3.365957
1000,9.3750,-2.0000,-1.208197
1000,41.6667,-7.6667,-3.354033
1000,37.5000,-7.3333,-3.366846
1000,2.0833,5.0000,-1.747424
1000,46.8750,-0.6667,-3.365115
1000,43.7500,-5.0000,-3.364886
1000,19.7917,4.0000,-1.350334
1000,42.7083,-4.0000,-3.342846
1000,27.0833,-5.3333,-3.351601
1000,38.5417,-7.6667,-3.356167
1000,48.9583,-4.0000,-3.338697
1000,50.0000,-2.0000,-3.366233
1000,39.5833,-6.0000,-3.347685
1000,15.6250,1.6667,-0.517404
1000,29.1667,-7.3333,-1.747328
1000,11.4583,2.0000,-0.219370
1000,22.9167,7.3333,-0.953689
1000,16.6667,1.6667,0.138521
1000,15.6250,7.0000,-1.747418
1000,31.2500,-0.6667,-3.358343
1000,28.1250,7.0000,-1.416787
1000,5.2083,-2.6667,-1.732177
1000,15.6250,2.3333,-0.594098
1000,23.9583,-1.6667,-3.355624
1000,2.0833,0.3333,-2.274489
1000,20.8333,-6.3333,-1.747362
1000,0.0000,6.3333,0.002248
