favg_\ delta1,-8.0000,-7.6667,-7.3333,-7.0000,-6.6667,-6.3333,-6.0000,-5.6667,-5.3333,-5.0000,-4.6667,-4.3333,-4.0000,-3.6667,-3.3333,-3.0000,-2.6667,-2.3333,-2.0000,-1.6667,-1.3333,-1.0000,-0.6667,-0.3333,0.0000,0.3333,0.6667,1.0000,1.3333,1.6667,2.0000,2.3333,2.6667,3.0000,3.3333,3.6667,4.0000,4.3333,4.6667,5.0000,5.3333,5.6667,6.0000,6.3333,6.6667,7.0000,7.3333,7.6667,8.0000
9.3750,-1.779859,-1.780100,-1.780268,-1.758555,-1.780209,-1.779894,-1.779386,-1.779138,-1.779703,-1.780370,-1.764303,-1.781198,-1.780038,-1.779226,-1.779489,-1.780086,-1.780312,-1.753676,-0.765215,-0.561719,-0.764874,-0.656468,1.173849,-2.085603,-1.639494,-0.784632,-0.605736,-0.154580,-0.959131,-1.078179,-1.036945,-1.312212,-1.564263,-1.780086,-1.779489,-1.779226,-1.780038,-1.781198,-1.764303,-1.780370,-1.779703,-1.779138,-1.779386,-1.779894,-1.780209,-1.758555,-1.780268,-1.780100,-1.779859
10.4167,-1.779859,-1.780101,-1.780268,-1.758555,-1.780209,-1.779894,-1.779386,-1.779138,-1.779703,-1.780370,-1.764303,-1.781198,-1.780038,-1.779226,-1.779489,-1.780086,-1.780312,-0.624708,-0.856643,-1.026073,0.690629,-3.054243,-2.606624,-1.958228,-1.811630,-0.220339,-0.715349,-0.206524,0.132795,-0.260652,0.855616,-1.038374,-1.589974,-1.578136,-1.777448,-1.779226,-1.780038,-1.781198,-1.764303,-1.780370,-1.779703,-1.779138,-1.779386,-1.779894,-1.780209,-1.758555,-1.780268,-1.780101,-1.779859
11.4583,-1.779859,-1.780101,-1.780268,-1.758555,-1.780209,-1.779894,-1.779386,-1.779138,-1.779703,-1.780370,-1.764303,-1.781198,-1.780038,-1.779226,-1.779489,-1.780086,-1.780312,0.494635,0.389814,-2.760605,-3.124955,-3.299591,-1.869736,-2.467689,-2.059390,-0.881255,-0.670925,0.396277,0.070704,-0.468686,-0.302495,0.618893,-1.371896,-1.320282,-1.626485,-1.241689,-1.780038,-1.781198,-1.764303,-1.780370,-1.779703,-1.779138,-1.779386,-1.779894,-1.780209,-1.758555,-1.780268,-1.780101,-1.779859
12.5000,-1.779859,-1.780101,-1.780268,-1.758555,-1.780209,-1.779894,-1.779386,-1.779138,-1.779703,-1.780370,-1.764303,-1.781198,-1.780038,-1.779226,-1.779489,-1.780086,-0.659302,-3.339871,-3.141355,-3.118578,-3.276587,-3.288891,-1.571865,-2.469635,-1.996465,-0.819083,-0.872071,-0.961576,0.788801,0.201650,0.346380,0.308670,-1.163283,-1.305104,-1.408619,-0.877001,-0.705736,-1.779271,-1.764303,-1.780370,-1.779703,-1.779138,-1.779386,-1.779894,-1.780209,-1.758555,-1.780268,-1.780101,-1.779859
13.5417,-1.779859,-1.780101,-1.780268,-1.758554,-1.780209,-1.779894,-1.779386,-1.779138,-1.779703,-1.780370,-1.764303,-1.781198,-1.780038,-1.779226,-1.758025,-3.531594,-3.551024,-3.147501,-2.907157,-1.855428,-3.026935,-3.423133,-2.641599,-2.544772,-1.800200,-0.521462,-0.496916,-0.272496,-0.227255,0.348008,0.374082,0.484198,0.265307,-0.729911,-1.061098,-1.260374,-1.706754,-1.589110,-1.498979,-1.780444,-1.779703,-1.779138,-1.779386,-1.779894,-1.780209,-1.758554,-1.780268,-1.780101,-1.779859
14.5833,-1.779859,-1.780101,-1.780268,-1.758554,-1.780209,-1.779894,-1.779386,-1.779138,-1.779703,-1.780370,-1.764303,-1.781198,-1.780038,-1.779226,-3.660372,-3.454615,-3.158092,-2.869286,-2.788458,-1.369462,-1.345139,-1.956237,-2.291256,-1.823217,-2.678949,-0.681567,-0.925328,-0.803204,0.166392,0.607831,0.328288,0.132050,0.471641,-0.228217,-0.283335,-0.797396,-1.651388,-1.627970,-1.571036,-1.482251,-1.793517,-1.779328,-1.779386,-1.779894,-1.780209,-1.758554,-1.780268,-1.780101,-1.779859
15.6250,-1.779859,-1.780101,-1.780268,-1.758554,-1.780209,-1.779894,-1.779386,-1.779138,-1.779703,-1.780370,-1.764303,-1.781198,-1.780038,-1.976070,-3.625137,-2.575326,-2.993165,-2.805764,-2.820986,-2.944986,-2.407179,-2.930982,-2.092676,-2.429639,-2.524999,-0.928450,-0.783151,0.175538,0.460134,0.566127,0.216983,0.310387,0.005826,0.599463,-0.448389,-0.850468,-1.624884,-1.641969,-1.529712,-1.407291,-1.299812,-0.142937,-2.017914,-1.779218,-1.780209,-1.758554,-1.780268,-1.780101,-1.779859
16.6667,-1.779859,-1.780101,-1.780268,-1.758554,-1.780209,-1.779894,-1.779386,-1.779138,-1.779703,-1.780370,-1.764303,-1.781198,-2.570084,-1.972974,-1.818427,-3.801616,-3.390415,-3.219100,-2.166518,-2.334455,-1.798168,-3.300266,-2.673356,-1.052913,-1.681231,0.067571,-0.743594,0.178722,-0.220860,0.607197,-0.041981,0.056207,0.749802,0.780299,0.467904,-0.112503,-1.649385,-1.716082,-1.643678,-1.531472,-1.426349,-1.219412,1.098844,-1.579241,-1.856452,-0.833495,-1.779864,-1.780176,-1.779859
17.7083,-1.779859,-1.780101,-1.780268,-1.758554,-1.780209,-1.779894,-1.779386,-1.779138,-1.779703,-1.780370,-1.764303,-1.781198,-2.574932,-3.494776,-3.294498,-3.000045,-2.986215,-3.307441,-2.822873,-2.002408,-3.266963,-2.651355,-2.251502,-2.753292,-1.717623,-0.919788,-0.174912,0.525228,0.611129,0.090867,-0.062269,0.072571,0.980794,0.267777,-0.458423,-0.209696,-1.348442,-1.705959,-1.577647,-0.911989,-1.273591,-1.123125,0.109269,-1.556314,-1.436930,-1.765100,-1.568470,-1.786539,-1.198671
18.7500,-1.779859,-1.780101,-1.780268,-1.758554,-1.780209,-1.779894,-1.779386,-1.779138,-1.779703,-1.780370,-1.764303,-2.967886,-1.801654,-3.333252,-2.986986,-3.558457,-1.836666,-2.986420,-2.092191,-2.994797,-2.823720,-3.073425,-1.822208,-2.817305,-2.019990,-0.846976,-0.224047,0.505367,0.713596,-0.331319,0.019928,-0.053794,0.264116,0.278138,0.305693,0.269821,-1.242824,-1.376156,-1.616269,-1.472006,-1.406069,-1.196297,-0.412120,0.883177,-1.289494,-0.947414,-1.506539,-1.763267,-1.908972
