gamma21,f_avg,delta1,log10_nmse
0.1,17.3469,4.3077,-2.141879
100,46.9388,4.3077,-2.581261
0.01,18.3673,6.3590,-2.235438
10,46.9388,3.8974,-1.184532
0.1,35.7143,-8.0000,-1.758635
100,7.1429,-4.3077,-2.581478
100,4.0816,5.1282,-2.586154
10,37.7551,-1.8462,-3.348947
0.01,3.0612,1.8462,-1.822623
10,14.2857,3.0769,-1.749336
10,28.5714,5.1282,-1.767069
0.1,45.9184,1.0256,0.045796
0.01,28.5714,-2.2564,-3.189737
0.01,40.8163,6.3590,-2.586721
0.1,15.3061,-1.8462,-3.225620
10,27.5510,0.6154,-2.793468
1,29.5918,-3.4872,-3.286916
10,19.3878,-3.0769,-1.749336
1,50.0000,3.4872,-0.930162
1,2.0408,-0.2051,-1.861620
0.01,21.4286,-5.1282,-3.057391
10,48.9796,-2.6667,-3.345539
100,33.6735,6.7692,-1.737959
1,4.0816,-6.3590,-1.766495
100,11.2245,-6.3590,-2.249107
0.1,50.0000,3.0769,-0.879461
0.1,17.3469,-0.6154,-2.779394
10,5.1020,3.0769,-1.749336
0.01,23.4694,-2.6667,-2.990286
10,19.3878,-7.1795,-1.771672
100,25.5102,-1.4359,-2.467869
10,42.8571,-5.9487,-1.771292
1,6.1224,-0.2051,-0.772876
1,8.1633,-2.6667,-1.765627
1,6.1224,-3.0769,-1.749336
100,12.2449,-2.2564,-2.525552
1,27.5510,6.3590,-1.508150
0.01,22.4490,-1.4359,-2.714801
0.1,5.1020,3.0769,-1.749336
10,47.9592,3.8974,-1.237263
0.01,30.6122,6.3590,-2.936474
10,50.0000,-7.1795,-1.771670
100,8.1633,1.8462,-2.556554
0.1,47.9592,6.3590,-2.826661
10,36.7347,-3.4872,-1.482996
10,26.5306,3.4872,-1.155375
0.1,43.8776,5.5385,-2.880155
0.01,16.3265,-8.0000,-1.753193
1,18.3673,4.3077,-1.939028
10,36.7347,-3.8974,-1.885114
100,17.3469,-6.7692,-2.230036
0.1,32.6531,-2.6667,-2.196215
10,23.4694,-8.0000,-1.758636
1,17.3469,0.2051,-0.962401
0.1,23.4694,5.1282,-2.241465
10,12.2449,7.1795,-1.771671
0.01,45.9184,-1.4359,-2.770512
10,8.1633,3.0769,-1.749336
100,20.4082,-7.5897,-1.765513
100,33.6735,7.1795,-1.768248
100,38.7755,1.0256,-2.303431
10,40.8163,-4.7179,-1.548751
1,9.1837,3.4872,-1.769358
1,6.1224,8.0000,-1.758644
0.01,12.2449,-7.5897,-1.759524
0.1,16.3265,-5.1282,-1.767068
1,39.7959,3.4872,-0.788925
100,13.2653,3.0769,-2.547140
0.01,2.0408,-3.4872,-2.531014
0.1,42.8571,-3.8974,-2.850887
0.01,26.5306,0.2051,-0.205736
1,11.2245,6.7692,-1.756215
0.01,22.4490,-1.8462,-2.431897
10,50.0000,3.4872,-0.922109
0.01,33.6735,-6.3590,-2.883432
100,13.2653,2.2564,-2.453012
0.1,31.6327,1.0256,-0.703764
10,3.0612,1.4359,-1.759344
10,35.7143,0.6154,-3.213725
1,23.4694,4.7179,-1.805946
10,46.9388,6.7692,-1.819415
1,48.9796,6.3590,-1.063449
10,22.4490,4.7179,-1.770649
100,36.7347,3.8974,-2.603571
10,32.6531,-7.1795,-1.771670
100,34.6939,-7.1795,-1.771670
100,42.8571,4.3077,-2.591768
0.1,46.9388,6.7692,-2.862401
10,30.6122,7.5897,-1.765512
10,18.3673,1.4359,-0.570089
0.1,43.8776,7.5897,-2.321019
10,28.5714,0.2051,-3.202200
0.01,26.5306,3.4872,-1.712551
1,28.5714,5.1282,-1.448973
0.1,14.2857,8.0000,-1.758642
0.1,33.6735,4.3077,-2.824964
10,3.0612,2.2564,-1.765771
100,31.6327,5.5385,-2.129215
100,20.4082,-8.0000,-1.758638
1,38.7755,5.5385,-1.779364
1,1.0204,-3.8974,-1.767025
100,6.1224,-1.8462,-2.593038
0.01,32.6531,-0.2051,-2.658735
1,19.3878,-6.3590,-1.766494
100,43.8776,3.0769,-2.486156
1,23.4694,-3.0769,-3.266738
1,23.4694,-3.8974,-3.101903
0.01,38.7755,-1.4359,-2.341452
100,41.8367,-2.6667,-2.513096
0.01,19.3878,-5.1282,-1.758929
100,23.4694,5.9487,-2.500467
1,7.1429,-3.4872,-1.769358
0.1,42.8571,1.4359,-0.389746
0.1,10.2041,1.8462,-1.410624
100,2.0408,-4.7179,-2.046219
1,46.9388,-1.0256,-2.505323
0.1,46.9388,-7.1795,-3.072761
0.01,19.3878,5.5385,-2.639166
1,50.0000,1.0256,-0.530122
1,14.2857,5.1282,-0.567686
100,28.5714,5.9487,-1.636664
10,50.0000,-5.1282,-1.599812
0.1,14.2857,-5.9487,-1.771294
1,2.0408,-4.3077,-1.751326
0.1,37.7551,0.2051,-0.240171
0.01,0.0000,-3.4872,0.000129
0.01,26.5306,4.7179,-2.821974
10,7.1429,6.3590,-1.766494
100,26.5306,-5.9487,-2.528000
100,4.0816,-1.4359,-2.647354
1,7.1429,2.6667,-1.765627
1,25.5102,-1.0256,-2.658412
10,18.3673,-1.0256,-2.397416
0.01,0.0000,1.4359,0.000141
1,35.7143,-2.6667,-2.317382
100,2.0408,-5.9487,-1.814703
100,47.9592,6.3590,-2.427146
100,34.6939,1.4359,-2.450406
10,34.6939,-1.4359,-3.358758
1,4.0816,-3.8974,-1.767027
0.01,17.3469,-0.6154,-2.140409
1,8.1633,5.9487,-1.771293
1,11.2245,5.5385,-1.753716
100,17.3469,-1.8462,-2.408190
1,1.0204,0.2051,-1.613008
100,42.8571,4.7179,-2.575599
10,7.1429,0.2051,-1.183290
0.01,48.9796,-3.4872,-2.785231
1,20.4082,3.0769,-0.786205
100,35.7143,4.3077,-2.596098
0.1,20.4082,-0.2051,-2.946683
0.1,8.1633,2.2564,-2.010577
100,31.6327,-6.3590,-2.456092
0.01,7.1429,-7.5897,-1.759287
0.1,21.4286,4.7179,-2.182325
10,7.1429,8.0000,-1.758644
0.1,0.0000,-3.0769,0.005625
100,13.2653,-5.9487,-2.491479
0.1,10.2041,0.6154,-0.816761
10,43.8776,-7.1795,-1.771670
0.01,20.4082,-3.8974,-3.130929
0.1,41.8367,-3.0769,-3.127654
100,20.4082,2.6667,-1.982722
0.01,10.2041,-7.1795,-1.767562
10,35.7143,-6.7692,-1.756211
1,9.1837,7.5897,-1.765513
0.1,9.1837,1.0256,-1.065364
10,25.5102,-4.7179,-1.770649
1,46.9388,-3.0769,-3.059185
0.1,47.9592,0.2051,-0.293345
0.1,14.2857,-0.2051,-2.563285
0.1,4.0816,8.0000,-1.758646
1,33.6735,0.6154,-0.232450
0.1,30.6122,-4.7179,-2.516936
100,17.3469,-7.5897,-1.765514
100,22.4490,-4.3077,-2.527527
100,22.4490,-3.0769,-2.491983
0.1,23.4694,2.6667,-1.764603
0.1,30.6122,-0.6154,-3.319667
10,28.5714,6.3590,-1.766494
1,14.2857,-0.6154,-3.235033
100,30.6122,4.3077,-2.534453
100,26.5306,1.8462,-2.522841
0.01,47.9592,-5.1282,-2.841888
0.01,16.3265,-7.5897,-1.760345
1,20.4082,-0.2051,-3.343966
100,32.6531,-2.6667,-2.528747
0.01,4.0816,-6.7692,-1.754832
10,29.5918,-1.8462,-3.357048
0.01,5.1020,-1.0256,-0.773909
0.01,46.9388,-6.3590,-3.178300
0.1,13.2653,4.7179,-1.980946
0.01,28.5714,2.6667,-1.490065
10,5.1020,6.7692,-1.756211
1,9.1837,2.6667,-1.640840
0.01,23.4694,-0.6154,-2.609878
10,8.1633,-2.2564,-1.765771
10,50.0000,1.4359,-0.859070
1,42.8571,0.2051,-0.254734
1,16.3265,3.8974,-0.215458
100,35.7143,7.1795,-1.765879
10,46.9388,3.0769,-1.334858
100,42.8571,-3.0769,-2.531074
1,2.0408,-1.8462,-1.748056
1,30.6122,6.3590,-1.516213
10,16.3265,2.6667,-1.765627
100,27.5510,7.1795,-1.771670
10,23.4694,-3.0769,-1.790052
10,46.9388,5.9487,-1.857544
0.1,46.9388,-5.9487,-1.971047
1,33.6735,2.2564,-0.642803
0.01,39.7959,6.7692,-2.960620
100,17.3469,7.1795,-1.771671
0.01,39.7959,7.1795,-2.791732
100,39.7959,8.0000,-1.758636
0.01,35.7143,-7.1795,-2.958425
1,15.3061,1.0256,-0.092709
0.1,44.8980,2.2564,-0.820937
1,43.8776,-3.4872,-3.369378
1,24.4898,-3.4872,-3.038832
0.1,30.6122,-5.9487,-2.857730
1,36.7347,8.0000,-0.364810
0.01,21.4286,-5.5385,-1.747335
1,2.0408,5.5385,-1.753725
100,7.1429,-6.7692,-1.853451
10,3.0612,-2.2564,-1.765771
100,19.3878,1.0256,-2.513436
10,6.1224,5.5385,-1.753710
0.01,32.6531,-5.5385,-2.834198
1,47.9592,7.1795,-1.779396
10,16.3265,-1.4359,-0.217957
0.01,35.7143,2.6667,-0.857773
100,5.1020,-2.2564,-2.650684
10,20.4082,8.0000,-1.758638
10,39.7959,-6.3590,-1.766493
0.01,29.5918,-5.5385,-2.753283
0.1,37.7551,0.6154,-0.038888
0.01,42.8571,1.4359,-0.728284
10,47.9592,0.2051,-2.977679
100,11.2245,3.4872,-2.619714
100,27.5510,6.7692,-1.939592
10,6.1224,-5.5385,-1.753710
10,46.9388,-4.3077,-2.214014
100,15.3061,6.3590,-2.464578
0.1,10.2041,3.4872,-2.480373
1,0.0000,5.9487,0.000024
10,28.5714,-2.6667,-0.730573
0.1,38.7755,4.3077,-2.896813
0.01,24.4898,8.0000,-2.905993
100,1.0204,1.0256,-2.589109
0.01,36.7347,-0.2051,-1.787280
1,21.4286,0.6154,-0.323557
1,35.7143,-3.0769,-2.160519
1,16.3265,-3.8974,-3.288027
0.01,35.7143,-5.1282,-2.811302
1,21.4286,5.1282,-1.813684
100,19.3878,4.7179,-2.569387
0.01,3.0612,4.3077,-1.747641
100,34.6939,-3.8974,-2.442801
100,48.9796,-3.4872,-2.505124
0.1,5.1020,1.4359,-1.758964
100,33.6735,1.8462,-2.463755
10,44.8980,-5.9487,-1.771292
0.1,28.5714,5.5385,-1.989582
0.1,39.7959,8.0000,-2.669375
0.1,2.0408,-2.2564,-1.750470
100,16.3265,3.8974,-2.555250
100,4.0816,0.2051,-2.506691
0.1,4.0816,7.5897,-1.765520
100,35.7143,-1.0256,-2.352679
0.01,2.0408,-1.4359,-3.372462
0.01,39.7959,0.2051,0.021168
10,22.4490,-7.5897,-1.765512
1,44.8980,1.4359,-0.497982
1,25.5102,2.6667,-0.865155
100,40.8163,-7.5897,-1.765512
10,13.2653,7.1795,-1.771671
100,42.8571,-0.2051,-1.973368
0.1,31.6327,4.3077,-2.410027
0.1,9.1837,-5.5385,-1.753715
10,50.0000,-1.8462,-3.348623
100,32.6531,7.1795,-1.768020
1,22.4490,2.2564,-0.400933
0.1,9.1837,6.7692,-1.756217
100,32.6531,0.6154,-2.268816
100,6.1224,1.8462,-2.503516
0.01,40.8163,0.6154,-0.209263
0.01,41.8367,1.8462,-0.738270
10,21.4286,1.8462,-0.071525
0.1,48.9796,-6.7692,-2.247067
0.01,40.8163,-7.5897,-2.310683
100,25.5102,1.8462,-2.526915
100,0.0000,-2.6667,0.092987
0.01,43.8776,0.6154,-0.423608
1,45.9184,-1.4359,-2.897936
100,7.1429,0.6154,-2.308489
1,9.1837,-5.5385,-1.753715
1,47.9592,-6.3590,-3.329009
0.01,46.9388,5.9487,-2.892185
100,18.3673,1.4359,-2.511029
0.1,4.0816,-0.2051,-1.804488
100,48.9796,4.3077,-2.583680
1,19.3878,-1.8462,-2.506994
1,45.9184,5.1282,-2.412722
0.1,1.0204,4.3077,-1.751320
100,34.6939,-1.0256,-2.406104
10,15.3061,-6.7692,-1.756216
0.1,18.3673,2.2564,-1.892528
10,33.6735,3.0769,-1.207707
0.1,34.6939,-3.8974,-2.418373
10,42.8571,6.3590,-1.059193
1,31.6327,-4.3077,-3.130505
100,30.6122,1.0256,-2.417658
0.1,35.7143,1.4359,-0.475296
0.1,46.9388,7.5897,-2.201834
100,13.2653,-7.1795,-1.771671
1,48.9796,1.0256,-0.459218
10,9.1837,3.8974,-1.767027
0.01,24.4898,5.1282,-2.808782
0.01,23.4694,3.8974,-2.531843
0.1,6.1224,2.2564,-1.765771
10,4.0816,-2.6667,-1.765627
100,21.4286,2.6667,-2.431615
0.01,4.0816,-1.8462,-2.231556
1,48.9796,-1.8462,-3.144864
0.01,16.3265,5.5385,-1.661001
0.01,20.4082,-5.5385,-1.748925
0.01,47.9592,1.8462,-0.521009
10,35.7143,-8.0000,-1.758635
10,15.3061,6.3590,-1.766495
10,46.9388,7.1795,-1.060106
0.1,15.3061,-3.4872,-3.295539
100,33.6735,-7.5897,-1.765512
0.1,23.4694,7.5897,-1.609359
0.01,44.8980,-0.6154,-2.615510
0.01,31.6327,-3.0769,-3.239746
10,11.2245,3.0769,-1.749336
0.01,48.9796,4.7179,-2.606784
0.01,27.5510,4.3077,-2.718106
0.01,30.6122,5.9487,-2.899583
10,39.7959,8.0000,-1.758636
0.1,30.6122,-5.5385,-2.829715
10,31.6327,-7.5897,-1.765511
10,24.4898,-3.0769,-0.668705
0.01,36.7347,-3.0769,-2.820427
0.1,19.3878,1.4359,-0.457251
1,17.3469,3.0769,-0.099252
10,30.6122,3.0769,-1.119401
10,29.5918,-5.5385,-1.753711
0.1,0.0000,3.0769,-0.007944
100,19.3878,-6.3590,-2.497304
0.01,42.8571,-0.6154,-3.342614
0.1,7.1429,-1.4359,-0.126715
10,15.3061,5.5385,-1.753709
1,50.0000,6.7692,-1.250906
0.1,20.4082,3.8974,-1.825727
1,26.5306,-2.2564,-3.070344
0.1,21.4286,4.3077,-2.233371
0.1,46.9388,-4.7179,-2.169251
0.01,42.8571,-5.1282,-2.877234
0.01,5.1020,-6.3590,-1.763158
0.01,32.6531,-1.4359,-3.008978
100,10.2041,8.0000,-1.758642
1,16.3265,4.3077,-1.346934
10,39.7959,6.7692,-1.912675
1,50.0000,3.0769,-0.292828
1,29.5918,-1.8462,-3.292903
0.1,8.1633,6.7692,-1.756217
0.01,19.3878,-2.6667,-1.023426
0.1,48.9796,-6.3590,-2.907715
1,13.2653,-6.7692,-1.756216
0.01,48.9796,-7.5897,-2.705890
100,32.6531,-5.5385,-2.520166
1,47.9592,3.0769,-0.722152
0.01,27.5510,1.4359,-0.902497
0.01,26.5306,1.8462,-1.846593
10,32.6531,-1.4359,-3.357183
0.01,41.8367,2.6667,-0.987403
0.01,28.5714,6.7692,-2.848532
10,23.4694,-2.6667,-1.527978
10,16.3265,1.4359,-0.263756
1,15.3061,0.6154,-0.432270
100,30.6122,-2.2564,-2.490954
0.01,24.4898,4.3077,-2.423117
1,10.2041,-5.9487,-1.771293
10,47.9592,7.5897,-1.970920
1,29.5918,-8.0000,-1.758635
0.01,8.1633,2.2564,-2.340956
100,28.5714,2.6667,-2.561742
0.1,45.9184,-1.8462,-2.804094
100,33.6735,5.1282,-2.501288
100,20.4082,-3.4872,-2.575052
10,36.7347,-4.3077,-1.005336
100,11.2245,-5.9487,-2.446976
100,21.4286,-2.2564,-2.200209
10,35.7143,-5.5385,-1.753711
10,29.5918,2.2564,-1.219310
1,33.6735,4.7179,-2.386295
100,42.8571,-7.5897,-1.765511
1,22.4490,-2.6667,-2.398299
0.1,18.3673,7.1795,-1.466277
0.1,6.1224,7.1795,-1.771671
0.1,11.2245,-2.6667,-3.205079
1,13.2653,5.5385,-1.753715
10,40.8163,-3.8974,-1.266196
1,33.6735,1.8462,-0.614277
100,8.1633,5.5385,-2.605426
1,26.5306,1.0256,-0.043984
100,2.0408,2.6667,-2.572053
0.01,41.8367,-0.6154,-3.361286
100,7.1429,1.4359,-2.506278
100,12.2449,5.5385,-2.533970
0.1,45.9184,6.7692,-2.739206
1,37.7551,-7.5897,-3.102905
100,23.4694,7.5897,-1.765512
1,24.4898,7.5897,-1.812714
10,26.5306,5.1282,-1.767069
1,3.0612,-2.6667,-1.765627
0.1,1.0204,-1.8462,-1.436537
0.1,31.6327,7.5897,-2.549182
100,9.1837,0.6154,-2.040315
10,2.0408,-5.5385,-1.753725
1,30.6122,5.1282,-1.206213
1,13.2653,-5.1282,-1.767068
0.01,24.4898,-5.5385,-2.758920
0.1,47.9592,5.9487,-2.881664
1,33.6735,-6.3590,-3.232467
100,27.5510,3.4872,-2.656310
0.01,12.2449,-6.7692,-1.751082
1,3.0612,-1.8462,-1.748056
10,11.2245,5.9487,-1.771294
100,26.5306,1.4359,-2.478257
10,22.4490,-3.0769,-1.749336
100,38.7755,4.7179,-2.582483
10,30.6122,-0.6154,-3.366293
0.01,21.4286,5.9487,-2.783589
1,6.1224,4.7179,-1.770649
10,6.1224,-3.4872,-1.769358
0.01,19.3878,8.0000,-2.680072
0.1,45.9184,-5.1282,-2.468995
0.01,12.2449,7.1795,-1.766325
0.01,3.0612,3.4872,-1.764009
1,41.8367,-5.5385,-1.557231
100,41.8367,-0.2051,-2.014246
0.1,24.4898,-6.3590,-1.766494
0.1,3.0612,0.6154,-2.214706
10,15.3061,4.3077,-1.751330
0.01,21.4286,-2.2564,-3.195334
0.01,31.6327,-1.4359,-3.148473
10,46.9388,1.0256,-2.626390
100,5.1020,-5.5385,-2.132290
100,9.1837,-4.3077,-2.488158
1,47.9592,-5.9487,-3.255563
0.01,48.9796,-1.8462,-3.133390
0.01,18.3673,5.1282,-2.223344
1,19.3878,-3.4872,-3.050758
0.01,37.7551,1.8462,-0.185713
10,0.0000,-1.4359,0.016106
0.1,6.1224,-2.2564,-1.765765
0.01,28.5714,6.3590,-2.911782
0.01,45.9184,-4.7179,-2.653824
100,35.7143,-6.3590,-2.476145
0.01,12.2449,-0.2051,-1.572687
10,40.8163,-7.5897,-1.765512
10,18.3673,0.6154,-3.054621
100,35.7143,-7.5897,-1.765512
0.1,6.1224,-6.7692,-1.756211
1,50.0000,-4.7179,-3.357278
10,36.7347,-8.0000,-1.758635
10,14.2857,-1.4359,-1.112498
0.01,28.5714,-4.7179,-3.135882
100,14.2857,-1.8462,-2.431665
0.1,19.3878,-3.8974,-3.195997
0.01,2.0408,3.4872,-1.766481
100,2.0408,3.8974,-2.556236
0.1,15.3061,-6.7692,-1.756216
100,29.5918,3.4872,-2.636925
0.1,28.5714,5.1282,-1.548591
10,28.5714,-0.2051,-2.214619
1,15.3061,-5.1282,-1.767068
1,5.1020,0.2051,-1.348092
0.1,22.4490,3.0769,-1.911272
0.1,15.3061,-0.6154,-3.187600
1,13.2653,-1.4359,-3.331613
100,39.7959,2.2564,-2.497362
1,38.7755,-3.8974,-3.265328
0.1,39.7959,-1.4359,-3.170341
1,11.2245,-3.8974,-1.767027
10,50.0000,-4.7179,-1.997263
1,17.3469,4.7179,-1.682331
10,35.7143,-2.2564,-3.351854
0.1,24.4898,5.5385,-1.936290
10,47.9592,8.0000,-2.271829
1,29.5918,-7.1795,-1.771670
10,38.7755,5.9487,-1.875436
100,8.1633,6.7692,-2.115520
0.1,38.7755,-6.3590,-2.982805
10,17.3469,0.2051,-2.318332
0.1,7.1429,-0.2051,-0.818443
0.1,33.6735,3.4872,-0.790894
1,30.6122,-6.3590,-3.254546
0.01,2.0408,5.1282,-1.764263
10,16.3265,-3.4872,-1.769359
100,1.0204,-1.0256,-2.414036
0.01,8.1633,0.6154,-1.249731
1,43.8776,-1.0256,-3.280952
1,25.5102,-4.7179,-2.276441
0.1,8.1633,3.4872,-1.769358
100,28.5714,-4.3077,-2.515784
0.01,25.5102,0.2051,-0.247310
1,21.4286,6.7692,-0.032912
100,9.1837,3.8974,-2.542027
10,21.4286,7.1795,-1.771671
0.01,32.6531,-3.0769,-3.153393
0.1,8.1633,5.5385,-1.753715
0.01,44.8980,5.5385,-2.954468
0.1,37.7551,-0.6154,-3.245191
0.01,31.6327,-6.7692,-2.643727
1,7.1429,1.8462,-1.547938
1,40.8163,2.2564,-0.119259
1,6.1224,-4.7179,-1.770649
1,25.5102,5.1282,-1.597353
1,22.4490,-5.1282,-3.227677
0.1,45.9184,-2.6667,-3.236562
1,35.7143,-5.1282,-3.322249
100,22.4490,8.0000,-1.758637
10,0.0000,-5.1282,0.000330
0.1,48.9796,-7.1795,-3.043126
10,48.9796,-7.5897,-1.765511
0.01,45.9184,1.0256,-0.540133
0.1,37.7551,6.3590,-2.951214
0.01,45.9184,6.7692,-2.787476
10,39.7959,-3.0769,-0.905817
10,11.2245,2.6667,-1.765627
0.01,44.8980,0.2051,-0.116933
100,34.6939,7.1795,-1.768307
1,17.3469,-0.6154,-2.001027
1,45.9184,5.5385,-2.238830
0.1,34.6939,-5.9487,-3.198462
10,2.0408,-2.2564,-1.765771
100,37.7551,-5.1282,-2.467768
1,22.4490,-4.7179,-3.313479
0.01,0.0000,-1.4359,0.000050
10,44.8980,-4.3077,-1.388713
100,16.3265,-4.7179,-2.670334
0.1,37.7551,5.1282,-2.872748
100,4.0816,-6.3590,-1.787123
0.1,30.6122,7.1795,-2.672622
1,5.1020,-8.0000,-1.758643
0.01,5.1020,2.2564,-1.751353
10,17.3469,-7.5897,-1.765514
100,22.4490,7.5897,-1.765512
1,6.1224,-2.2564,-1.765771
0.01,35.7143,-8.0000,-3.100080
1,40.8163,-2.2564,-3.370640
0.1,33.6735,1.8462,-0.765153
1,31.6327,-7.5897,-1.765511
10,39.7959,7.5897,-1.765512
0.1,36.7347,-7.1795,-2.719588
10,6.1224,5.9487,-1.771294
100,8.1633,0.2051,-2.018577
0.01,34.6939,3.0769,-0.909208
0.1,12.2449,-2.6667,-2.946175
0.01,24.4898,-1.0256,-3.364628
1,8.1633,6.7692,-1.756217
100,39.7959,4.3077,-2.577708
0.01,8.1633,-3.0769,-2.146387
0.01,8.1633,7.1795,-1.764039
0.1,33.6735,-1.8462,-2.361374
1,4.0816,7.5897,-1.765520
100,17.3469,1.8462,-2.577599
100,25.5102,7.5897,-1.765512
0.01,38.7755,3.4872,-0.802381
10,48.9796,2.6667,-1.289663
100,11.2245,5.1282,-2.571703
0.1,2.0408,3.8974,-1.767025
0.01,4.0816,-1.0256,-1.877719
100,22.4490,1.8462,-2.488228
0.01,15.3061,-0.2051,-2.139806
0.01,16.3265,1.0256,0.143947
0.1,5.1020,-4.3077,-1.751330
1,38.7755,1.8462,-0.284494
0.01,36.7347,8.0000,-2.730026
0.1,19.3878,6.7692,-1.686858
10,30.6122,-2.2564,-1.709939
10,20.4082,-3.4872,-1.769358
100,46.9388,3.8974,-2.538412
10,17.3469,-1.0256,-0.597451
100,16.3265,-1.0256,-2.506882
1,16.3265,-2.2564,-2.224740
1,25.5102,-0.2051,-3.160195
0.01,41.8367,-3.4872,-3.010384
10,17.3469,3.8974,-1.767027
10,44.8980,-1.4359,-3.066240
0.1,10.2041,-8.0000,-1.758642
1,17.3469,-7.1795,-1.771671
1,30.6122,7.1795,-1.503450
1,50.0000,-1.8462,-3.270548
1,44.8980,-0.2051,-3.315886
1,38.7755,-6.7692,-3.094301
1,36.7347,-7.5897,-3.249440
1,15.3061,8.0000,-1.758641
100,46.9388,7.1795,-2.379092
10,28.5714,7.1795,-1.771670
0.01,37.7551,-7.5897,-2.846950
10,48.9796,-1.8462,-3.358981
10,31.6327,-5.5385,-1.753711
100,2.0408,-4.3077,-2.226803
0.1,48.9796,6.7692,-2.692603
0.01,26.5306,3.8974,-2.687688
0.01,30.6122,-0.6154,-2.717625
1,11.2245,-1.8462,-0.905825
0.1,21.4286,-5.9487,-1.771293
0.1,16.3265,4.7179,-2.090209
1,20.4082,1.0256,-0.310493
10,9.1837,-2.6667,-1.765627
100,31.6327,1.4359,-2.506280
1,3.0612,-3.4872,-1.769358
0.1,44.8980,-0.6154,-2.421717
1,31.6327,0.2051,-0.456133
100,6.1224,-3.0769,-2.562434
0.1,11.2245,1.8462,0.429886
100,45.9184,-1.8462,-2.366502
100,13.2653,4.7179,-2.603652
10,33.6735,7.1795,-1.771670
1,41.8367,2.2564,-0.857433
0.1,30.6122,5.9487,-2.297770
10,10.2041,5.9487,-1.771293
0.1,18.3673,-5.1282,-1.767069
1,23.4694,-1.4359,-2.694944
0.01,1.0204,2.6667,2.179001
100,29.5918,5.5385,-1.722123
1,9.1837,-1.0256,-2.119636
1,9.1837,-5.1282,-1.767067
10,17.3469,3.4872,-1.769359
0.01,10.2041,-6.3590,-1.760070
10,32.6531,4.3077,-0.735774
0.01,42.8571,-6.7692,-2.349646
100,29.5918,4.3077,-2.354507
1,1.0204,-5.9487,-1.771294
100,28.5714,7.5897,-1.765512
1,36.7347,-6.7692,-3.297604
0.1,2.0408,-4.7179,-1.770649
10,4.0816,-6.7692,-1.756208
100,19.3878,-7.1795,-1.771672
10,19.3878,-0.2051,-3.302162
100,17.3469,-0.6154,-2.450621
10,7.1429,7.5897,-1.765512
10,38.7755,4.3077,-1.379183
10,38.7755,2.2564,-0.785758
100,5.1020,-3.8974,-2.616498
1,12.2449,4.3077,-1.751330
0.01,44.8980,1.8462,-0.751733
0.01,47.9592,2.6667,-0.853272
0.1,26.5306,-8.0000,-1.758636
100,36.7347,5.5385,-2.463693
10,28.5714,-1.0256,-3.354369
100,29.5918,4.7179,-1.951809
0.1,47.9592,-2.6667,-2.627804
100,21.4286,3.8974,-2.362895
1,41.8367,3.0769,-0.722061
1,34.6939,3.4872,-1.018111
10,39.7959,-0.6154,-2.970025
1,8.1633,0.2051,-0.630545
10,33.6735,-1.8462,-3.295300
10,40.8163,7.1795,-1.981142
0.01,0.0000,-2.2564,0.000113
10,40.8163,6.7692,-1.945572
1,46.9388,0.2051,-0.307163
1,42.8571,-2.6667,-2.254779
1,47.9592,6.7692,-1.284343
100,25.5102,-0.6154,-2.358145
0.01,46.9388,-7.5897,-2.667653
0.01,40.8163,-4.3077,-2.719750
1,15.3061,1.4359,0.081185
1,38.7755,3.8974,-1.278865
10,43.8776,3.4872,-0.561926
10,8.1633,7.5897,-1.765512
0.1,7.1429,3.0769,-1.749336
0.01,30.6122,-1.4359,-2.870829
0.01,29.5918,3.4872,-1.502700
0.01,6.1224,4.3077,-1.747481
0.1,17.3469,-7.5897,-1.765514
0.01,12.2449,3.8974,-2.474529
1,6.1224,-7.1795,-1.771671
1,46.9388,-2.6667,-2.519714
0.01,27.5510,-4.3077,-3.204775
0.1,40.8163,-0.6154,-3.260630
100,0.0000,1.0256,0.553189
0.01,22.4490,5.1282,-2.364783
0.01,8.1633,3.8974,-1.761696
0.1,3.0612,-7.1795,-1.771673
0.01,14.2857,-5.9487,-1.764018
10,25.5102,-1.0256,-3.039300
0.1,16.3265,-2.6667,-2.839605
1,24.4898,-8.0000,-1.758636
10,50.0000,-6.3590,-1.730995
100,8.1633,-1.8462,-2.517419
0.1,0.0000,-3.4872,-0.000001
0.1,34.6939,1.4359,-0.787840
0.01,28.5714,-0.6154,-3.228013
100,35.7143,-3.4872,-2.207671
0.1,38.7755,0.6154,-0.541042
100,6.1224,-0.6154,-2.490747
0.1,20.4082,-2.6667,-3.138105
1,45.9184,-5.1282,-3.201382
0.01,44.8980,-5.9487,-2.175892
100,42.8571,5.1282,-2.486308
0.01,37.7551,8.0000,-2.691535
100,7.1429,-5.9487,-2.082484
10,36.7347,-5.5385,-1.753711
1,2.0408,6.7692,-1.756222
10,43.8776,-2.2564,-3.354442
0.1,3.0612,-4.3077,-1.751330
0.1,46.9388,-1.4359,-2.984267
100,28.5714,1.4359,-2.506910
0.1,13.2653,5.5385,-1.733531
1,14.2857,3.4872,-1.165192
1,26.5306,-5.9487,-2.454593
0.01,2.0408,-3.0769,-2.601461
0.01,6.1224,-5.1282,-1.762619
0.1,16.3265,-6.3590,-1.766495
1,12.2449,3.8974,-1.028638
0.1,22.4490,-1.0256,-3.249866
1,33.6735,-5.9487,-3.359668
0.1,41.8367,1.4359,-0.399510
