gamma21,f_avg,delta1,log10_nmse
100,13.2653,-1.8462,-2.472406
10,39.7959,1.4359,-1.310039
0.01,15.3061,8.0000,-1.418990
1,28.5714,-6.3590,-2.807804
0.01,6.1224,7.1795,-1.766385
100,35.7143,-5.5385,-2.518846
100,24.4898,6.3590,-2.309935
0.1,50.0000,-8.0000,-2.913205
0.1,47.9592,-0.2051,-2.760810
1,44.8980,-5.9487,-3.300817
1,13.2653,7.1795,-1.771671
100,29.5918,-1.4359,-2.409640
10,23.4694,6.7692,-1.756212
100,13.2653,1.0256,-2.531142
1,9.1837,0.6154,-0.943198
1,11.2245,-7.1795,-1.771672
0.01,19.3878,3.4872,-1.922179
100,9.1837,6.3590,-2.427227
0.01,22.4490,3.8974,-2.490963
10,3.0612,-1.8462,-1.748056
10,24.4898,8.0000,-1.758636
0.1,2.0408,-3.8974,-1.767025
10,1.0204,0.6154,-1.611415
1,32.6531,-5.1282,-2.719177
100,37.7551,-6.7692,-2.353444
10,8.1633,0.2051,-0.833487
100,4.0816,-7.1795,-1.771669
0.1,26.5306,3.8974,-0.947618
100,15.3061,-1.0256,-2.554255
0.1,45.9184,-6.3590,-3.043208
10,42.8571,5.1282,-1.237435
0.1,25.5102,-0.2051,-3.009182
100,16.3265,-3.8974,-2.516587
0.01,3.0612,-1.8462,-3.250907
1,9.1837,3.8974,-1.767027
1,45.9184,-2.6667,-3.143744
10,19.3878,2.6667,-0.931545
100,8.1633,-3.8974,-2.589414
1,50.0000,-3.0769,-3.373895
1,19.3878,1.4359,-0.152407
100,2.0408,1.8462,-2.623502
10,32.6531,0.2051,-3.234670
0.01,1.0204,-2.6667,-3.062960
1,20.4082,6.3590,1.419997
0.1,26.5306,5.1282,-1.679745
1,5.1020,-3.4872,-1.769358
0.1,28.5714,-5.1282,-3.373927
1,14.2857,-6.7692,-1.756216
1,8.1633,2.6667,-1.765627
100,20.4082,3.0769,-2.261207
100,33.6735,2.6667,-2.540429
0.01,0.0000,-5.5385,0.000068
0.01,1.0204,6.3590,-1.766485
10,16.3265,-5.9487,-1.771294
100,16.3265,6.3590,-2.434025
0.1,7.1429,5.9487,-1.771293
100,45.9184,4.3077,-2.587860
10,26.5306,-1.4359,-3.322365
100,30.6122,5.5385,-1.746788
100,26.5306,7.5897,-1.765512
10,23.4694,-6.3590,-1.766494
0.1,10.2041,4.3077,-1.751330
0.01,39.7959,-2.6667,-2.715827
0.1,2.0408,5.5385,-1.753725
1,0.0000,5.1282,0.003086
1,2.0408,1.4359,-1.759344
100,48.9796,-5.5385,-2.328707
0.1,8.1633,3.8974,-1.767027
100,14.2857,8.0000,-1.758642
0.01,26.5306,-1.4359,-2.718162
100,45.9184,1.8462,-2.332873
0.01,19.3878,4.7179,-2.514543
0.1,38.7755,-7.1795,-2.938996
0.01,16.3265,6.7692,-2.012293
0.01,12.2449,2.2564,-1.976844
0.01,20.4082,1.0256,-0.393739
10,6.1224,-6.3590,-1.766493
10,13.2653,5.9487,-1.771294
10,6.1224,-1.0256,-1.751582
0.01,30.6122,-3.4872,-2.752964
0.01,20.4082,5.1282,-2.588915
10,17.3469,-3.0769,-1.749336
100,50.0000,1.0256,-1.831594
1,7.1429,-3.8974,-1.767027
0.1,41.8367,-6.3590,-2.926603
10,40.8163,1.4359,1.263249
10,11.2245,-6.7692,-1.756215
100,23.4694,1.0256,-2.403117
10,27.5510,1.0256,-2.054042
0.1,25.5102,3.0769,-0.681273
1,25.5102,-8.0000,-1.758636
