gamma21,f_avg,delta1,log10_nmse
2.2,13.6735,-5.1282,-1.780472
1.4,27.5510,-5.1282,-3.139679
1.0,28.3673,-3.8974,-2.645458
0.6,23.8776,-3.0769,-3.039515
0.6,26.7347,-1.8462,-3.385222
0.6,16.9388,5.9487,-1.387235
1.4,27.1429,-5.5385,-3.146387
0.6,14.0816,6.7692,-1.769609
0.2,21.8367,-2.2564,-3.382481
2.2,28.3673,0.2051,-2.393002
1.4,15.3061,4.3077,-1.893129
2.2,27.1429,0.2051,-2.240213
1.8,17.3469,-5.1282,-1.780472
1.4,10.0000,7.5897,-1.778968
2.2,29.5918,0.2051,-2.810975
2.2,28.7755,0.2051,-1.826740
2.2,20.6122,-4.7179,-1.768364
0.6,22.6531,-4.7179,-2.671814
1.8,11.2245,-4.3077,-1.764598
1.0,15.7143,-1.0256,-2.922978
1.0,14.0816,-6.3590,-1.779923
1.8,14.0816,4.7179,-1.783809
0.2,24.6939,-3.0769,-3.069305
2.2,11.6327,-4.7179,-1.783809
0.6,15.7143,5.1282,-1.864520
0.2,25.9184,-2.2564,-3.271874
1.8,13.2653,0.2051,-2.601185
0.6,28.3673,-2.6667,-3.224484
1.8,25.5102,-1.0256,-3.363186
1.8,14.8980,6.7692,-1.769610
0.6,26.3265,-4.7179,-3.355568
0.2,21.8367,-3.8974,-3.176298
0.6,26.7347,-3.4872,-3.043425
1.4,18.1633,-6.3590,-1.779922
1.8,27.1429,-2.2564,-3.365765
0.2,10.8163,2.6667,-1.954635
1.4,21.0204,-1.8462,-3.068701
1.0,12.8571,-1.0256,-3.332431
1.4,16.5306,4.7179,-1.276346
1.8,23.8776,-5.9487,-1.784400
2.2,14.8980,-2.2564,-1.250442
1.8,18.1633,5.1282,-1.481401
0.2,10.0000,2.2564,-1.694466
2.2,16.5306,5.1282,0.098234
0.2,22.6531,-4.7179,-3.078393
2.2,15.3061,3.4872,-1.084820
0.2,25.9184,-3.4872,-3.037932
1.0,11.2245,2.2564,0.231371
1.0,14.8980,-3.0769,-2.150517
1.4,11.2245,2.2564,-0.624689
0.2,16.5306,-6.3590,-1.779922
0.6,18.5714,-4.3077,-3.395977
1.0,12.8571,-0.2051,-3.384779
1.0,10.4082,-1.4359,-0.765106
0.2,30.0000,-7.5897,-1.778966
0.6,16.9388,5.5385,-1.816350
1.8,19.3878,-1.4359,-3.358585
1.4,27.1429,-0.6154,-3.367855
0.6,10.0000,6.3590,-1.779922
1.0,13.6735,7.5897,-1.778969
0.2,27.9592,-3.0769,-2.989330
0.2,21.4286,7.5897,-1.891538
2.2,16.1224,8.0000,-1.772069
1.4,10.0000,1.0256,-1.166446
0.6,26.3265,-1.0256,-3.201800
1.8,19.3878,-1.8462,-3.347197
2.2,13.6735,-8.0000,-1.772070
2.2,12.8571,-5.9487,-1.784401
1.8,16.9388,7.5897,-1.778968
1.8,17.3469,5.9487,-1.502163
1.0,19.7959,6.3590,1.410435
2.2,15.3061,-5.5385,-1.767045
1.0,18.9796,-4.7179,-1.783809
1.4,14.0816,5.9487,-1.784401
1.8,15.7143,-1.8462,-3.355638
2.2,23.0612,-3.0769,-3.359911
1.8,23.4694,-1.0256,-3.331807
1.0,20.2041,6.3590,1.434713
0.2,11.2245,-7.1795,-1.784744
0.6,14.4898,-7.5897,-1.778969
0.2,10.0000,-7.5897,-1.778968
0.6,18.5714,-2.2564,-3.357215
2.2,19.3878,-6.3590,-1.779921
2.2,12.0408,4.7179,-1.783809
1.4,13.6735,-2.2564,-3.346968
1.8,13.6735,5.1282,-1.780472
1.4,10.0000,5.1282,-1.780471
0.6,22.2449,7.1795,-1.872249
1.0,19.7959,-1.0256,-1.587197
1.8,25.5102,7.5897,-1.758750
1.8,10.4082,-6.7692,-1.769607
0.2,10.4082,7.5897,-1.778968
1.4,15.7143,-6.7692,-1.769609
0.2,29.1837,-5.1282,-3.225147
1.8,19.3878,5.1282,-1.544881
1.4,10.4082,-7.1795,-1.784744
1.4,14.4898,3.0769,-1.925603
0.2,10.8163,0.2051,-0.385888
0.2,14.0816,-0.2051,-3.021783
0.6,12.0408,-5.1282,-1.780471
1.8,24.2857,-1.4359,-3.341411
1.0,13.6735,2.6667,-0.435789
1.0,19.3878,-7.1795,-1.784744
0.6,25.9184,-7.1795,-1.784742
1.8,17.3469,-0.6154,-3.340863
1.8,23.0612,-5.9487,-1.784400
1.8,29.5918,-1.0256,-3.317670
