F_AVG,DELTA1,DELTA2,DELTA_F,NMSE,log10_NMSE,COMB_QI,COMB_PULSING,COMB_MOD_RATIO
20.0000,-6.9540,-12.4770,1.6736,7.597015e-04,-3.1194,0,0,0.000001
20.0000,-6.9540,-12.4770,1.8828,7.925308e-04,-3.1010,0,0,0.000001
20.0000,-6.9540,-12.4770,2.0920,8.284525e-04,-3.0817,0,0,0.000001
20.0000,-6.9540,-12.4770,2.3012,8.672774e-04,-3.0618,0,0,0.000001
20.0000,-6.9540,-12.4770,2.5104,9.099619e-04,-3.0410,0,0,0.000001
20.0000,-6.9540,-12.4770,2.7196,9.563828e-04,-3.0194,0,0,0.000001
20.0000,-6.9540,-12.4770,2.9288,1.006462e-03,-2.9972,0,0,0.000001
20.0000,-6.9540,-12.4770,3.1380,1.060535e-03,-2.9745,0,0,0.000001
20.0000,-6.9540,-12.4770,3.3472,1.118580e-03,-2.9513,0,0,0.000001
20.0000,-6.9540,-12.4770,3.5564,1.180886e-03,-2.9278,0,0,0.000001
20.0000,-6.9540,-12.4770,3.7656,1.247030e-03,-2.9041,0,0,0.000001
20.0000,-6.9540,-12.4770,3.9748,1.317179e-03,-2.8804,0,0,0.000001
20.0000,-6.9540,-12.4770,4.1840,1.391447e-03,-2.8565,0,0,0.000001
20.0000,-6.9540,-12.4770,4.3932,1.470327e-03,-2.8326,0,0,0.000001
20.0000,-6.9540,-12.4770,4.6024,1.552932e-03,-2.8088,0,0,0.000001
20.0000,-6.9540,-12.4770,4.8116,1.639569e-03,-2.7853,0,0,0.000001
20.0000,-6.9540,-12.4770,5.0208,1.730836e-03,-2.7617,0,0,0.000001
20.0000,-6.7448,-12.3724,0.0000,2.049348e-02,-1.6884,0,0,0.000001
20.0000,-6.7448,-12.3724,0.2092,4.081896e-04,-3.3891,0,0,0.000001
20.0000,-6.7448,-12.3724,0.4184,4.151550e-04,-3.3818,0,0,0.000001
20.0000,-6.7448,-12.3724,0.6276,4.246717e-04,-3.3719,0,0,0.000001
20.0000,-6.7448,-12.3724,0.8368,4.366523e-04,-3.3599,0,0,0.000001
20.0000,-6.7448,-12.3724,1.0460,4.520707e-04,-3.3448,0,0,0.000001
20.0000,-6.7448,-12.3724,1.2552,4.707877e-04,-3.3272,0,0,0.000001
20.0000,-6.7448,-12.3724,1.4644,4.932379e-04,-3.3069,0,0,0.000001
20.0000,-6.7448,-12.3724,1.6736,5.194000e-04,-3.2845,0,0,0.000001
20.0000,-6.7448,-12.3724,1.8828,5.488185e-04,-3.2606,0,0,0.000001
20.0000,-6.7448,-12.3724,2.0920,5.823452e-04,-3.2348,0,0,0.000001
20.0000,-6.7448,-12.3724,2.3012,6.196833e-04,-3.2078,0,0,0.000001
20.0000,-6.7448,-12.3724,2.5104,6.609044e-04,-3.1799,0,0,0.000001
20.0000,-6.7448,-12.3724,2.7196,7.063184e-04,-3.1510,0,0,0.000001
20.0000,-6.7448,-12.3724,2.9288,7.557136e-04,-3.1216,0,0,0.000001
20.0000,-6.7448,-12.3724,3.1380,8.090521e-04,-3.0920,0,0,0.000001
20.0000,-6.7448,-12.3724,3.3472,8.666251e-04,-3.0622,0,0,0.000001
20.0000,-6.7448,-12.3724,3.5564,9.282980e-04,-3.0323,0,0,0.000001
20.0000,-6.7448,-12.3724,3.7656,9.943410e-04,-3.0025,0,0,0.000001
20.0000,-6.7448,-12.3724,3.9748,1.064289e-03,-2.9729,0,0,0.000001
20.0000,-6.7448,-12.3724,4.1840,1.138463e-03,-2.9437,0,0,0.000001
20.0000,-6.7448,-12.3724,4.3932,1.216798e-03,-2.9148,0,0,0.000001
20.0000,-6.7448,-12.3724,4.6024,1.298932e-03,-2.8864,0,0,0.000001
20.0000,-6.7448,-12.3724,4.8116,1.385828e-03,-2.8583,0,0,0.000001
20.0000,-6.7448,-12.3724,5.0208,1.476633e-03,-2.8307,0,0,0.000001
20.0000,-6.5356,-12.2678,0.0000,2.028887e-02,-1.6927,0,0,0.000001
20.0000,-6.5356,-12.2678,0.2092,3.306837e-04,-3.4806,0,0,0.000001
20.0000,-6.5356,-12.2678,0.4184,3.371456e-04,-3.4722,0,0,0.000001
20.0000,-6.5356,-12.2678,0.6276,3.423684e-04,-3.4655,0,0,0.000001
20.0000,-6.5356,-12.2678,0.8368,3.539941e-04,-3.4510,0,0,0.000001
20.0000,-6.5356,-12.2678,1.0460,3.692442e-04,-3.4327,0,0,0.000001
20.0000,-6.5356,-12.2678,1.2552,3.874789e-04,-3.4118,0,0,0.000001
20.0000,-6.5356,-12.2678,1.4644,4.094124e-04,-3.3878,0,0,0.000001
20.0000,-6.5356,-12.2678,1.6736,4.349213e-04,-3.3616,0,0,0.000001
20.0000,-6.5356,-12.2678,1.8828,4.644803e-04,-3.3330,0,0,0.000001
20.0000,-6.5356,-12.2678,2.0920,4.977414e-04,-3.3030,0,0,0.000001
20.0000,-6.5356,-12.2678,2.3012,5.348922e-04,-3.2717,0,0,0.000001
20.0000,-6.5356,-12.2678,2.5104,5.760278e-04,-3.2396,0,0,0.000001
20.0000,-6.5356,-12.2678,2.7196,6.212638e-04,-3.2067,0,0,0.000001
20.0000,-6.5356,-12.2678,2.9288,6.704535e-04,-3.1736,0,0,0.000001
20.0000,-6.5356,-12.2678,3.1380,7.237364e-04,-3.1404,0,0,0.000001
20.0000,-6.5356,-12.2678,3.3472,7.811305e-04,-3.1073,0,0,0.000001
20.0000,-6.5356,-12.2678,3.5564,8.426832e-04,-3.0743,0,0,0.000001
20.0000,-6.5356,-12.2678,3.7656,9.082974e-04,-3.0418,0,0,0.000001
20.0000,-6.5356,-12.2678,3.9748,9.780475e-04,-3.0096,0,0,0.000001
20.0000,-6.5356,-12.2678,4.1840,1.051864e-03,-2.9780,0,0,0.000001
20.0000,-6.5356,-12.2678,4.3932,1.129886e-03,-2.9470,0,0,0.000001
20.0000,-6.5356,-12.2678,4.6024,1.211932e-03,-2.9165,0,0,0.000001
20.0000,-6.5356,-12.2678,4.8116,1.298154e-03,-2.8867,0,0,0.000001
20.0000,-6.5356,-12.2678,5.0208,1.388563e-03,-2.8574,0,0,0.000001
20.0000,-6.3264,-12.1632,0.0000,2.097072e-02,-1.6784,0,0,0.000001
20.0000,-6.3264,-12.1632,0.2092,6.317486e-04,-3.1995,0,0,0.000001
20.0000,-6.3264,-12.1632,0.4184,6.393049e-04,-3.1943,0,0,0.000001
20.0000,-6.3264,-12.1632,0.6276,6.459674e-04,-3.1898,0,0,0.000001
20.0000,-6.3264,-12.1632,0.8368,6.629036e-04,-3.1785,0,0,0.000001
20.0000,-6.3264,-12.1632,1.0460,6.785973e-04,-3.1684,0,0,0.000001
20.0000,-6.3264,-12.1632,1.2552,6.988790e-04,-3.1556,0,0,0.000001
20.0000,-6.3264,-12.1632,1.4644,7.217946e-04,-3.1416,0,0,0.000001
20.0000,-6.3264,-12.1632,1.6736,7.485316e-04,-3.1258,0,0,0.000001
20.0000,-6.3264,-12.1632,1.8828,7.791422e-04,-3.1084,0,0,0.000001
20.0000,-6.3264,-12.1632,2.0920,8.132333e-04,-3.0898,0,0,0.000001
20.0000,-6.3264,-12.1632,2.3012,8.510758e-04,-3.0700,0,0,0.000001
20.0000,-6.3264,-12.1632,2.5104,8.926151e-04,-3.0493,0,0,0.000001
20.0000,-6.3264,-12.1632,2.7196,9.383559e-04,-3.0276,0,0,0.000001
20.0000,-6.3264,-12.1632,2.9288,9.880629e-04,-3.0052,0,0,0.000001
20.0000,-6.3264,-12.1632,3.1380,1.041785e-03,-2.9822,0,0,0.000001
20.0000,-6.3264,-12.1632,3.3472,1.099739e-03,-2.9587,0,0,0.000001
20.0000,-6.3264,-12.1632,3.5564,1.161770e-03,-2.9349,0,0,0.000001
20.0000,-6.3264,-12.1632,3.7656,1.228030e-03,-2.9108,0,0,0.000001
20.0000,-6.3264,-12.1632,3.9748,1.298340e-03,-2.8866,0,0,0.000001
