f_avg,delta1,log10_nmse
7.7406,-7.7895,-2.760562
17.1548,-7.7895,-2.665132
13.3891,-7.7895,-2.640689
7.5314,-7.7895,-2.788650
4.6025,-7.7895,-2.710702
10.4603,-7.7895,-2.752402
20.9205,-7.7895,-2.627263
9.6234,-7.7895,-2.763298
26.3598,-7.7895,-2.633459
21.5481,-7.7895,-2.613191
22.1757,-7.7895,-2.620906
27.4059,-7.7895,-2.584069
11.7155,-7.7895,-2.772779
10.2510,-7.7895,-2.804636
5.2301,-7.7895,-2.747262
27.6151,-7.7895,-2.593423
14.0167,-7.7895,-2.675370
6.4854,-7.7895,-2.682483
23.2218,-7.7895,-2.573821
8.9958,-7.7895,-2.685994
18.6192,-7.7895,-2.669165
21.7573,-7.7895,-2.624213
13.5983,-7.7895,-2.697373
15.6904,-7.7895,-2.615500
16.3180,-7.7895,-2.676362
6.2762,-7.7895,-2.775123
14.8536,-7.7895,-2.710924
19.4561,-7.7895,-2.649514
15.8996,-7.7895,-2.724293
23.0126,-7.7895,-2.657296
10.6695,-7.7895,-2.786296
25.7322,-7.7895,-2.648250
20.0837,-7.7895,-2.651898
25.9414,-7.7895,-2.633588
6.9038,-7.7895,-2.769483
20.5021,-7.7895,-2.602075
16.9456,-7.7895,-2.748907
22.3849,-7.7895,-2.606285
5.4393,-7.7895,-2.384533
8.5774,-7.7895,-2.759349
7.1130,-7.7895,-2.697165
21.9665,-7.7895,-2.601280
11.0879,-7.7895,-2.753792
26.9874,-7.7895,-2.556674
2.7197,-7.7895,-2.628885
18.8285,-7.7895,-2.637790
8.7866,-7.7895,-2.721857
20.7113,-7.7895,-2.564186
17.3640,-7.7895,-2.668965
22.5941,-7.7895,-2.601654
10.0418,-7.7895,-2.805219
19.6653,-7.7895,-2.611744
9.8326,-7.7895,-2.697915
12.9707,-7.7895,-2.755931
17.7824,-7.7895,-2.628907
8.3682,-7.7895,-2.660012
25.1046,-7.7895,-2.676879
10.8787,-7.7895,-2.746046
6.0669,-7.7895,-2.763705
9.2050,-7.7895,-2.716506
14.4351,-7.7895,-2.671149
17.5732,-7.7895,-2.686274
16.1088,-7.7895,-2.694871
