F_AVG,DELTA_F,NMSE,log10_NMSE,COMB_QI,COMB_PULSING,COMB_MOD_RATIO
1.2552,3.5564,9.911565e-02,-1.0039,0,0,6.045521
1.2552,3.7656,9.926408e-02,-1.0032,0,0,6.045521
1.2552,3.9748,8.628705e-02,-1.0641,0,0,6.045521
1.2552,4.1840,1.340565e-01,-0.8727,0,0,6.045521
1.2552,4.3932,5.249656e-01,-0.2799,0,0,6.045521
1.2552,4.6024,2.784732e-01,-0.5552,0,0,6.045521
1.2552,4.8116,2.990124e-01,-0.5243,0,0,6.045521
1.2552,5.0208,7.270581e-01,-0.1384,0,0,6.045521
1.4644,0.0000,2.102834e-02,-1.6772,0,0,6.120099
1.4644,0.2092,1.017116e-03,-2.9926,0,0,6.121142
1.4644,0.4184,2.092018e-03,-2.6794,0,0,6.120591
1.4644,0.6276,3.961561e-03,-2.4021,0,0,6.118218
1.4644,0.8368,6.676467e-03,-2.1755,0,0,6.113821
1.4644,1.0460,1.032571e-02,-1.9861,0,0,6.107235
1.4644,1.2552,1.504495e-02,-1.8226,0,0,6.098347
1.4644,1.4644,2.102834e-02,-1.6772,0,0,6.087276
1.4644,1.6736,2.854129e-02,-1.5445,0,0,6.081114
1.4644,1.8828,3.788972e-02,-1.4215,0,0,6.074913
1.4644,2.0920,4.923908e-02,-1.3077,0,0,6.068811
1.4644,2.3012,6.243112e-02,-1.2046,0,0,6.062768
1.4644,2.5104,7.749562e-02,-1.1107,0,0,6.056887
1.4644,2.7196,9.638304e-02,-1.0160,0,0,6.051156
1.4644,2.9288,1.324378e-01,-0.8780,0,0,6.045521
1.4644,3.1380,4.997283e-01,-0.3013,0,0,6.045521
1.4644,3.3472,2.001916e-01,-0.6986,0,0,6.045521
1.4644,3.5564,1.820702e+01,1.2602,0,0,6.045521
1.4644,3.7656,1.661124e-01,-0.7796,0,0,6.045521
1.4644,3.9748,2.176778e-01,-0.6622,0,0,6.045521
1.4644,4.1840,3.465708e-01,-0.4602,0,0,6.045521
1.4644,4.3932,9.926422e-02,-1.0032,0,0,6.045521
1.4644,4.6024,1.230791e-01,-0.9098,0,0,6.045521
1.4644,4.8116,1.571269e-01,-0.8037,0,0,6.082717
1.4644,5.0208,1.143733e-01,-0.9417,0,0,6.147641
1.6736,0.0000,2.102837e-02,-1.6772,0,0,6.120591
1.6736,0.2092,9.360399e-04,-3.0287,0,0,6.121142
1.6736,0.4184,1.749897e-03,-2.7570,0,0,6.120099
1.6736,0.6276,3.164893e-03,-2.4996,0,0,6.117702
1.6736,0.8368,5.208645e-03,-2.2833,0,0,6.114216
1.6736,1.0460,7.929296e-03,-2.1008,0,0,6.109833
1.6736,1.2552,1.139886e-02,-1.9431,0,0,6.104764
1.6736,1.4644,1.571913e-02,-1.8036,0,0,6.099220
1.6736,1.6736,2.102837e-02,-1.6772,0,0,6.093353
1.6736,1.8828,2.750789e-02,-1.5605,0,0,6.087276
1.6736,2.0920,3.536624e-02,-1.4514,0,0,6.081114
1.6736,2.3012,4.475271e-02,-1.3492,0,0,6.074913
1.6736,2.5104,5.561850e-02,-1.2548,0,0,6.068811
1.6736,2.7196,6.783900e-02,-1.1685,0,0,6.062768
1.6736,2.9288,8.160807e-02,-1.0883,0,0,6.056887
1.6736,3.1380,1.000496e-01,-0.9998,0,0,6.051156
1.6736,3.3472,1.324382e-01,-0.8780,0,0,6.045521
1.6736,3.5564,1.326031e+00,0.1226,0,0,6.045521
1.6736,3.7656,4.025005e-01,-0.3952,0,0,6.045521
1.6736,3.9748,9.466572e-02,-1.0238,0,0,6.045521
1.6736,4.1840,5.641468e-01,-0.2486,0,0,6.045521
1.6736,4.3932,4.751796e-01,-0.3231,0,0,6.082717
1.6736,4.6024,1.404643e-01,-0.8524,0,0,6.147641
1.6736,4.8116,8.734934e-01,-0.0587,0,0,6.214936
1.6736,5.0208,9.926403e-02,-1.0032,0,0,6.278125
1.8828,0.0000,2.102825e-02,-1.6772,0,0,6.113821
1.8828,0.2092,8.806465e-04,-3.0552,0,0,6.118218
1.8828,0.4184,1.518164e-03,-2.8187,0,0,6.120591
1.8828,0.6276,2.625050e-03,-2.5809,0,0,6.121142
1.8828,0.8368,4.220156e-03,-2.3747,0,0,6.120099
1.8828,1.0460,6.330652e-03,-2.1986,0,0,6.117702
1.8828,1.2552,8.997980e-03,-2.0459,0,0,6.114216
1.8828,1.4644,1.228090e-02,-1.9108,0,0,6.109833
1.8828,1.6736,1.625733e-02,-1.7890,0,0,6.104764
1.8828,1.8828,2.102825e-02,-1.6772,0,0,6.099220
1.8828,2.0920,2.672368e-02,-1.5731,0,0,6.093353
1.8828,2.3012,3.349095e-02,-1.4751,0,0,6.087276
1.8828,2.5104,4.145183e-02,-1.3825,0,0,6.081114
1.8828,2.7196,5.061881e-02,-1.2957,0,0,6.074913
1.8828,2.9288,6.087926e-02,-1.2155,0,0,6.068811
1.8828,3.1380,7.224062e-02,-1.1412,0,0,6.062768
1.8828,3.3472,8.493730e-02,-1.0709,0,0,6.056887
1.8828,3.5564,1.034133e-01,-0.9854,0,0,6.051156
1.8828,3.7656,1.324383e-01,-0.8780,0,0,6.045521
1.8828,3.9748,6.359971e-01,-0.1965,0,0,6.082717
1.8828,4.1840,5.392733e+01,1.7318,0,0,6.147641
1.8828,4.3932,1.994040e-01,-0.7003,0,0,6.214936
1.8828,4.6024,6.373164e+00,0.8044,0,0,6.278125
1.8828,4.8116,5.775390e-01,-0.2384,0,0,6.330816
1.8828,5.0208,1.168512e-01,-0.9324,0,0,6.367384
2.0920,0.0000,2.102820e-02,-1.6772,0,0,6.098347
2.0920,0.2092,8.409653e-04,-3.0752,0,0,6.107235
2.0920,0.4184,1.353835e-03,-2.8684,0,0,6.113821
2.0920,0.6276,2.242698e-03,-2.6492,0,0,6.118218
2.0920,0.8368,3.522031e-03,-2.4532,0,0,6.120591
2.0920,1.0460,5.208658e-03,-2.2833,0,0,6.121142
2.0920,1.2552,7.327982e-03,-2.1350,0,0,6.120099
2.0920,1.4644,9.915290e-03,-2.0037,0,0,6.117702
2.0920,1.6736,1.301800e-02,-1.8855,0,0,6.114216
2.0920,1.8828,1.669683e-02,-1.7774,0,0,6.109833
2.0920,2.0920,2.102820e-02,-1.6772,0,0,6.104764
2.0920,2.3012,2.610837e-02,-1.5832,0,0,6.099220
2.0920,2.5104,3.204503e-02,-1.4942,0,0,6.093353
2.0920,2.7196,3.893460e-02,-1.4097,0,0,6.087276
2.0920,2.9288,4.681344e-02,-1.3296,0,0,6.081114
2.0920,3.1380,5.561849e-02,-1.2548,0,0,6.074913
2.0920,3.3472,6.528170e-02,-1.1852,0,0,6.068811
2.0920,3.5564,7.589304e-02,-1.1198,0,0,6.082717
2.0920,3.7656,8.773315e-02,-1.0568,0,0,6.147641
2.0920,3.9748,1.064170e-01,-0.9730,0,0,6.214936
2.0920,4.1840,1.324383e-01,-0.8780,0,0,6.278125
2.0920,4.3932,1.280452e-01,-0.8926,0,0,6.330816
2.0920,4.6024,2.459004e-01,-0.6092,0,0,6.367384
2.0920,4.8116,1.611982e-01,-0.7926,0,0,6.383865
2.0920,5.0208,1.376053e-01,-0.8614,0,0,6.378651
2.3012,0.0000,2.102812e-02,-1.6772,0,0,6.073566
2.3012,0.2092,8.114792e-04,-3.0907,0,0,6.087111
2.3012,0.4184,1.233552e-03,-2.9088,0,0,6.098347
2.3012,0.6276,1.961993e-03,-2.7073,0,0,6.107235
2.3012,0.8368,3.010806e-03,-2.5213,0,0,6.113821
2.3012,1.0460,4.390201e-03,-2.3575,0,0,6.118218
2.3012,1.2552,6.116501e-03,-2.2135,0,0,6.120591
2.3012,1.4644,8.212101e-03,-2.0855,0,0,6.121142
2.3012,1.6736,1.070814e-02,-1.9703,0,0,6.120099
2.3012,1.8828,1.364195e-02,-1.8651,0,0,6.117702
2.3012,2.0920,1.706222e-02,-1.7680,0,0,6.114216
2.3012,2.3012,2.102812e-02,-1.6772,0,0,6.109833
2.3012,2.5104,2.561282e-02,-1.5915,0,0,6.104764
2.3012,2.7196,3.089719e-02,-1.5101,0,0,6.099220
2.3012,2.9288,3.695731e-02,-1.4323,0,0,6.093353
2.3012,3.1380,4.383594e-02,-1.3582,0,0,6.087276
2.3012,3.3472,5.150807e-02,-1.2881,0,0,6.147641
2.3012,3.5564,5.990330e-02,-1.2225,0,0,6.214936
2.3012,3.7656,6.902201e-02,-1.1610,0,0,6.278125
2.3012,3.9748,7.897286e-02,-1.1025,0,0,6.330816
2.3012,4.1840,9.017284e-02,-1.0449,0,0,6.367384
2.3012,4.3932,1.089972e-01,-0.9626,0,0,6.383865
2.3012,4.6024,1.324383e-01,-0.8780,0,0,6.378651
2.3012,4.8116,1.694020e-01,-0.7711,0,0,6.352375
2.3012,5.0208,1.751309e-01,-0.7566,0,0,6.307885
2.5104,0.0000,2.102826e-02,-1.6772,0,0,6.040206
2.5104,0.2092,7.880936e-04,-3.1034,0,0,6.057848
2.5104,0.4184,1.142609e-03,-2.9421,0,0,6.073566
2.5104,0.6276,1.749879e-03,-2.7570,0,0,6.087111
2.5104,0.8368,2.624968e-03,-2.5809,0,0,6.098347
2.5104,1.0460,3.774324e-03,-2.4232,0,0,6.107235
2.5104,1.2552,5.208671e-03,-2.2833,0,0,6.113821
2.5104,1.4644,6.943237e-03,-2.1584,0,0,6.118218
2.5104,1.6736,8.998115e-03,-2.0458,0,0,6.120591
2.5104,1.8828,1.139863e-02,-1.9431,0,0,6.121142
2.5104,2.0920,1.417682e-02,-1.8484,0,0,6.120099
2.5104,2.3012,1.737092e-02,-1.7602,0,0,6.117702
2.5104,2.5104,2.102826e-02,-1.6772,0,0,6.114216
2.5104,2.7196,2.520521e-02,-1.5985,0,0,6.109833
2.5104,2.9288,2.996438e-02,-1.5234,0,0,6.147641
2.5104,3.1380,3.536616e-02,-1.4514,0,0,6.214936
2.5104,3.3472,4.145202e-02,-1.3825,0,0,6.278125
2.5104,3.5564,4.821964e-02,-1.3168,0,0,6.330816
2.5104,3.7656,5.561843e-02,-1.2548,0,0,6.367384
2.5104,3.9748,6.360984e-02,-1.1965,0,0,6.383865
2.5104,4.1840,7.224053e-02,-1.1412,0,0,6.378651
2.5104,4.3932,8.160813e-02,-1.0883,0,0,6.352375
2.5104,4.6024,9.237935e-02,-1.0344,0,0,6.307885
2.5104,4.8116,1.111108e-01,-0.9542,0,0,6.249291
2.5104,5.0208,1.324382e-01,-0.8780,0,0,6.181486
2.7196,0.0000,2.102830e-02,-1.6772,0,0,6.000861
2.7196,0.2092,7.699029e-04,-3.1136,0,0,6.021029
2.7196,0.4184,1.072515e-03,-2.9696,0,0,6.040206
2.7196,0.6276,1.586354e-03,-2.7996,0,0,6.057848
2.7196,0.8368,2.327005e-03,-2.6332,0,0,6.073566
2.7196,1.0460,3.299298e-03,-2.4816,0,0,6.087111
2.7196,1.2552,4.510370e-03,-2.3458,0,0,6.098347
2.7196,1.4644,5.970907e-03,-2.2240,0,0,6.107235
2.7196,1.6736,7.694254e-03,-2.1138,0,0,6.113821
2.7196,1.8828,9.698666e-03,-2.0133,0,0,6.118218
2.7196,2.0920,1.200493e-02,-1.9206,0,0,6.120591
2.7196,2.3012,1.464009e-02,-1.8345,0,0,6.121142
2.7196,2.5104,1.763506e-02,-1.7536,0,0,6.147641
2.7196,2.7196,2.102830e-02,-1.6772,0,0,6.214936
2.7196,2.9288,2.486407e-02,-1.6044,0,0,6.278125
2.7196,3.1380,2.919179e-02,-1.5347,0,0,6.330816
2.7196,3.3472,3.405977e-02,-1.4678,0,0,6.367384
2.7196,3.5564,3.950557e-02,-1.4033,0,0,6.383865
2.7196,3.7656,4.553859e-02,-1.3416,0,0,6.378651
2.7196,3.9748,5.212898e-02,-1.2829,0,0,6.352375
2.7196,4.1840,5.923271e-02,-1.2274,0,0,6.307885
2.7196,4.3932,6.684840e-02,-1.1749,0,0,6.249291
2.7196,4.6024,7.503976e-02,-1.1247,0,0,6.181486
2.7196,4.8116,8.389761e-02,-1.0763,0,0,6.109017
2.7196,5.0208,9.443355e-02,-1.0249,0,0,6.056887
2.9288,0.0000,2.102828e-02,-1.6772,0,0,5.960716
2.9288,0.2092,7.562010e-04,-3.1214,0,0,5.980438
2.9288,0.4184,1.016917e-03,-2.9927,0,0,6.000861
2.9288,0.6276,1.457361e-03,-2.8364,0,0,6.021029
2.9288,0.8368,2.092155e-03,-2.6794,0,0,6.040206
2.9288,1.0460,2.925081e-03,-2.5339,0,0,6.057848
2.9288,1.2552,3.961623e-03,-2.4021,0,0,6.073566
2.9288,1.4644,5.208692e-03,-2.2833,0,0,6.087111
2.9288,1.6736,6.676329e-03,-2.1755,0,0,6.098347
2.9288,1.8828,8.376838e-03,-2.0769,0,0,6.107235
2.9288,2.0920,1.032577e-02,-1.9861,0,0,6.147641
2.9288,2.3012,1.254107e-02,-1.9017,0,0,6.214936
2.9288,2.5104,1.504515e-02,-1.8226,0,0,6.278125
2.9288,2.7196,1.786371e-02,-1.7480,0,0,6.330816
2.9288,2.9288,2.102828e-02,-1.6772,0,0,6.367384
2.9288,3.1380,2.457439e-02,-1.6095,0,0,6.383865
2.9288,3.3472,2.854153e-02,-1.5445,0,0,6.378651
2.9288,3.5564,3.296906e-02,-1.4819,0,0,6.352375
2.9288,3.7656,3.788936e-02,-1.4215,0,0,6.307885
2.9288,3.9748,4.331763e-02,-1.3633,0,0,6.249291
2.9288,4.1840,4.923929e-02,-1.3077,0,0,6.181486
2.9288,4.3932,5.561846e-02,-1.2548,0,0,6.109017
2.9288,4.6024,6.243125e-02,-1.2046,0,0,6.081114
2.9288,4.8116,6.970367e-02,-1.1567,0,0,6.074913
2.9288,5.0208,7.749580e-02,-1.1107,0,0,6.068811
3.1380,0.0000,2.102833e-02,-1.6772,0,0,5.928546
3.1380,0.2092,7.445584e-04,-3.1281,0,0,5.942904
3.1380,0.4184,9.725007e-04,-3.0121,0,0,5.960716
3.1380,0.6276,1.354000e-03,-2.8684,0,0,5.980438
3.1380,0.8368,1.903510e-03,-2.7204,0,0,6.000861
3.1380,1.0460,2.624870e-03,-2.5809,0,0,6.021029
3.1380,1.2552,3.522145e-03,-2.4532,0,0,6.040206
3.1380,1.4644,4.599857e-03,-2.3373,0,0,6.082717
3.1380,1.6736,5.865532e-03,-2.2317,0,0,6.147641
3.1380,1.8828,7.327802e-03,-2.1350,0,0,6.214936
3.1380,2.0920,8.998087e-03,-2.0458,0,0,6.278125
3.1380,2.3012,1.088945e-02,-1.9630,0,0,6.330816
3.1380,2.5104,1.301799e-02,-1.8855,0,0,6.367384
3.1380,2.7196,1.540222e-02,-1.8124,0,0,6.383865
3.1380,2.9288,1.806364e-02,-1.7432,0,0,6.378651
3.1380,3.1380,2.102833e-02,-1.6772,0,0,6.352375
3.1380,3.3472,2.432534e-02,-1.6139,0,0,6.307885
3.1380,3.5564,2.798680e-02,-1.5530,0,0,6.249291
3.1380,3.7656,3.204497e-02,-1.4942,0,0,6.181486
3.1380,3.9748,3.652771e-02,-1.4374,0,0,6.109833
3.1380,4.1840,4.145211e-02,-1.3825,0,0,6.104764
3.1380,4.3932,4.681363e-02,-1.3296,0,0,6.099220
3.1380,4.6024,5.258693e-02,-1.2791,0,0,6.093353
3.1380,4.8116,5.874360e-02,-1.2310,0,0,6.087276
3.1380,5.0208,6.528178e-02,-1.1852,0,0,6.081114
3.3472,0.0000,2.102835e-02,-1.6772,0,0,5.918101
3.3472,0.2092,7.342920e-04,-3.1341,0,0,5.926382
3.3472,0.4184,9.360691e-04,-3.0287,0,0,5.946373
3.3472,0.6276,1.269706e-03,-2.8963,0,0,5.979389
3.3472,0.8368,1.749994e-03,-2.7570,0,0,6.025449
3.3472,1.0460,2.380888e-03,-2.6233,0,0,6.082717
3.3472,1.2552,3.164952e-03,-2.4996,0,0,6.147641
3.3472,1.4644,4.105783e-03,-2.3866,0,0,6.214936
3.3472,1.6736,5.208699e-03,-2.2833,0,0,6.278125
3.3472,1.8828,6.480406e-03,-2.1884,0,0,6.330816
3.3472,2.0920,7.928948e-03,-2.1008,0,0,6.367384
3.3472,2.3012,9.564778e-03,-2.0193,0,0,6.383865
3.3472,2.5104,1.139862e-02,-1.9431,0,0,6.378651
3.3472,2.7196,1.344494e-02,-1.8714,0,0,6.352375
3.3472,2.9288,1.571922e-02,-1.8036,0,0,6.307885
3.3472,3.1380,1.823977e-02,-1.7390,0,0,6.249291
3.3472,3.3472,2.102835e-02,-1.6772,0,0,6.181486
3.3472,3.5564,2.410894e-02,-1.6178,0,0,6.121142
3.3472,3.7656,2.750806e-02,-1.5605,0,0,6.120099
