F_AVG,DELTA1,log10_NMSE
9.6234,-7.7895,-1.733809
4.3933,-7.7895,-0.800356
27.1967,-7.7895,-2.684662
1.8828,-7.7895,-0.460207
3.3473,-7.7895,-0.845724
29.4979,-7.7895,-2.752197
6.6946,-7.7895,-1.372626
9.4142,-7.7895,-1.711500
3.5565,-7.7895,-0.662340
27.8243,-7.7895,-2.703731
0.0000,-7.7895,-0.040301
32.0084,-7.7895,-2.818995
28.0335,-7.7895,-2.709977
30.3347,-7.7895,-2.775204
2.9289,-7.7895,-0.821396
28.8703,-7.7895,-2.734410
27.4059,-7.7895,-2.691076
2.0921,-7.7895,-0.550469
0.2092,-7.7895,-0.060183
29.9163,-7.7895,-2.763793
4.1841,-7.7895,-1.004726
30.9623,-7.7895,-2.791967
1.4644,-7.7895,-0.154981
3.1381,-7.7895,-0.646041
30.1255,-7.7895,-2.769521
1.0460,-7.7895,-0.194941
30.5439,-7.7895,-2.780837
0.4184,-7.7895,-0.091658
47.9079,-8.0000,-3.684265
32.6360,-7.7895,-2.834698
31.5900,-7.7895,-2.808314
45.8159,-8.0000,-3.982770
3.9749,-7.7895,-0.376803
31.3808,-7.7895,-2.802910
1.2552,-7.7895,-0.241133
0.6276,-7.7895,-0.125788
45.1883,-8.0000,-4.059114
49.5816,-8.0000,-3.720778
33.4728,-7.7895,-2.855080
34.9372,-7.7895,-2.889263
30.7531,-7.7895,-2.786425
47.0711,-8.0000,-3.292719
45.3975,-8.0000,-4.030377
33.0544,-7.7895,-2.844966
32.4268,-7.7895,-2.829505
44.5607,-8.0000,-4.097913
47.6987,-8.0000,-3.670851
32.8452,-7.7895,-2.839854
33.8912,-7.7895,-2.865020
34.5188,-7.7895,-2.879663
33.6820,-7.7895,-2.860074
48.9540,-8.0000,-3.595724
32.2176,-7.7895,-2.824267
31.7992,-7.7895,-2.813676
34.1004,-7.7895,-2.869945
37.0293,-7.7895,-2.935065
48.1172,-8.0000,-3.461317
35.3556,-7.7895,-2.898678
34.3096,-7.7895,-2.874832
44.7699,-8.0000,-4.068427
33.2636,-7.7895,-2.850046
38.0753,-7.7895,-2.956749
35.9833,-7.7895,-2.912570
44.9791,-8.0000,-4.055668
