F_AVG,DELTA1,DELTA2,NMSE,log10_NMSE,COMB_QI,COMB_PULSING,COMB_MOD_RATIO
0.2092,2.8784,-7.5608,2.041828e-02,-1.6900,0,0,6.049456
0.2092,3.0876,-7.4562,2.094389e-02,-1.6789,0,0,6.050387
0.2092,3.2968,-7.3516,2.067939e-02,-1.6845,0,0,6.035903
0.2092,3.5060,-7.2470,2.042702e-02,-1.6898,0,0,6.058833
0.2092,3.7152,-7.1424,2.097858e-02,-1.6782,0,0,6.034266
0.2092,3.9244,-7.0378,2.057815e-02,-1.6866,0,0,6.053649
0.2092,4.1336,-6.9332,2.033688e-02,-1.6917,0,0,6.044387
0.2092,4.3428,-6.8286,2.093104e-02,-1.6792,0,0,6.041214
0.2092,4.5520,-6.7240,2.062519e-02,-1.6856,0,0,6.055178
0.2092,4.7612,-6.6194,2.035858e-02,-1.6913,0,0,6.034188
0.2092,4.9704,-6.5148,2.096241e-02,-1.6786,0,0,6.055949
0.2092,5.1796,-6.4102,2.054953e-02,-1.6872,0,0,6.038764
0.2092,5.3888,-6.3056,2.029800e-02,-1.6925,0,0,6.046100
0.2092,5.5980,-6.2010,2.092090e-02,-1.6794,0,0,6.049422
0.2092,5.8072,-6.0964,2.060054e-02,-1.6861,0,0,6.035200
0.2092,6.0164,-5.9918,2.032406e-02,-1.6920,0,0,6.055354
0.2092,6.2256,-5.8872,2.095053e-02,-1.6788,0,0,6.034010
0.2092,6.4348,-5.7826,2.053685e-02,-1.6875,0,0,6.050070
0.2092,6.6440,-5.6780,2.027640e-02,-1.6930,0,0,6.042512
0.2092,6.8532,-5.5734,2.091639e-02,-1.6795,0,0,6.038282
0.2092,7.0624,-5.4688,2.058484e-02,-1.6865,0,0,6.052065
0.2092,7.2716,-5.3642,2.030259e-02,-1.6924,0,0,6.031396
0.2092,7.4808,-5.2596,2.093859e-02,-1.6791,0,0,6.052946
0.2092,7.6900,-5.1550,2.053312e-02,-1.6875,0,0,6.035890
0.2092,7.8992,-5.0504,2.026391e-02,-1.6933,0,0,6.043545
0.4184,-8.0000,-13.0000,2.047891e-02,-1.6887,0,0,6.040853
0.4184,-7.7908,-12.8954,2.027874e-02,-1.6930,0,0,6.048340
0.4184,-7.5816,-12.7908,2.097429e-02,-1.6783,0,0,6.041592
0.4184,-7.3724,-12.6862,2.051317e-02,-1.6880,0,0,6.045812
0.4184,-7.1632,-12.5816,2.032967e-02,-1.6919,0,0,6.045730
0.4184,-6.9540,-12.4770,2.098318e-02,-1.6781,0,0,6.041401
0.4184,-6.7448,-12.3724,2.049328e-02,-1.6884,0,0,6.049492
0.4184,-6.5356,-12.2678,2.028909e-02,-1.6927,0,0,6.039808
0.4184,-6.3264,-12.1632,2.097053e-02,-1.6784,0,0,6.048645
0.4184,-6.1172,-12.0586,2.053474e-02,-1.6875,0,0,6.043490
0.4184,-5.9080,-11.9540,2.034839e-02,-1.6915,0,0,6.043305
0.4184,-5.6988,-11.8494,2.098231e-02,-1.6781,0,0,6.049531
0.4184,-5.4896,-11.7448,2.051358e-02,-1.6880,0,0,6.038548
0.4184,-5.2804,-11.6402,2.030801e-02,-1.6923,0,0,6.051819
0.4184,-5.0712,-11.5356,2.096851e-02,-1.6784,0,0,6.040130
0.4184,-4.8620,-11.4310,2.056786e-02,-1.6868,0,0,6.046927
0.4184,-4.6528,-11.3264,2.038172e-02,-1.6908,0,0,6.047879
0.4184,-4.4436,-11.2218,2.098382e-02,-1.6781,0,0,6.038663
0.4184,-4.2344,-11.1172,2.054804e-02,-1.6872,0,0,6.054742
0.4184,-4.0252,-11.0126,2.034559e-02,-1.6915,0,0,6.035954
0.4184,-3.8160,-10.9080,2.096922e-02,-1.6784,0,0,6.052660
0.4184,-3.6068,-10.8034,2.062549e-02,-1.6856,0,0,6.043753
0.4184,-3.3976,-10.6988,2.045101e-02,-1.6893,0,0,6.041302
0.4184,-3.1884,-10.5942,2.099236e-02,-1.6779,0,0,6.056502
0.4184,-2.9792,-10.4896,2.061125e-02,-1.6859,0,0,6.031500
0.4184,-2.7700,-10.3850,2.043038e-02,-1.6897,0,0,6.061182
0.4184,-2.5608,-10.2804,2.097525e-02,-1.6783,0,0,6.036137
0.4184,-2.3516,-10.1758,2.074983e-02,-1.6830,0,0,6.048856
0.4184,-2.1424,-10.0712,2.063073e-02,-1.6855,0,0,6.055716
0.4184,-1.9332,-9.9666,2.101379e-02,-1.6775,0,0,6.027939
0.4184,-1.7240,-9.8620,2.074933e-02,-1.6830,0,0,6.074031
0.4184,-1.5148,-9.7574,2.065383e-02,-1.6850,0,0,6.022596
0.4184,-1.3056,-9.6528,2.098729e-02,-1.6780,0,0,6.067765
0.4184,-1.0964,-9.5482,2.102215e-02,-1.6773,0,0,6.049133
0.4184,-0.8872,-9.4436,9.689853e-02,-1.0137,0,0,6.030814
0.4184,-0.6780,-9.3390,2.444031e-02,-1.6119,0,0,6.094229
